id,listing_url,name,neighbourhood_cleansed,zipcode,country,latitude,longitude,room_type,accommodates,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
13056821,https://www.airbnb.com/rooms/13056821,1 BR Newly Renovated Charming Historic Brownstone.,Roxbury,2119,United States,42.33028987238518,-71.0938218308697,Entire home/apt,4,$148.00,96,10,9,10,10,9,9
13062783,https://www.airbnb.com/rooms/13062783,Boston bedroom near Fenway,Mission Hill,2120,United States,42.330482874568,-71.10650652595727,Private room,1,$42.00,85,8,7,9,10,9,7
13063952,https://www.airbnb.com/rooms/13063952,3 min to T stop-Boston/Somervillle,Charlestown,2129,United States,42.3827047835036,-71.07877178358189,Private room,2,$65.00,96,10,10,10,10,9,10
13076586,https://www.airbnb.com/rooms/13076586,Room in the heart of downtown Boston,Fenway,2115,United States,42.34213596859539,-71.09009915775971,Private room,1,$56.00,100,10,10,10,10,10,10
13077603,https://www.airbnb.com/rooms/13077603,Comfortable furnished room with high ceilings.,Roxbury,,United States,42.317816686089365,-71.09135484025055,Private room,1,$35.00,96,10,9,10,10,8,10
13078025,https://www.airbnb.com/rooms/13078025,Back Bay with Style,Fenway,2215,United States,42.346784698665424,-71.08951117990317,Entire home/apt,2,$300.00,99,10,10,10,10,10,10
13078148,https://www.airbnb.com/rooms/13078148,"Downtown Crossing ARTlab, Studio Apt, Boston",Downtown,2108,United States,42.35645417348172,-71.061030598429,Entire home/apt,2,$259.00,87,10,9,10,10,9,9
13078164,https://www.airbnb.com/rooms/13078164,Boston Penthouse - Modern Charm,South End,2118,United States,42.33986228780994,-71.07766733289968,Entire home/apt,2,$175.00,98,10,10,10,10,10,9
13079659,https://www.airbnb.com/rooms/13079659,Sharp 2BR in Downtown Crossing by Sonder,Chinatown,2111,United States,42.35127066725765,-71.0619857441564,Entire home/apt,4,$277.00,93,10,10,10,10,9,9
13079902,https://www.airbnb.com/rooms/13079902,Sunny Bedroom Overlooking Fenway Park - Convenient,Fenway,2115,United States,42.34191819107909,-71.09001377006122,Private room,2,$89.00,100,10,10,10,10,10,8
13080375,https://www.airbnb.com/rooms/13080375,Industrial 3BR in Downtown Crossing by Sonder,Chinatown,2111,United States,42.35141929255333,-71.06184472031838,Entire home/apt,6,$340.00,87,9,10,10,9,9,9
13081090,https://www.airbnb.com/rooms/13081090,Split-Level 2BR in Downtown Crossing by Sonder,Chinatown,2111,United States,42.351278140711536,-71.06175821253368,Entire home/apt,4,$290.00,88,10,10,10,10,10,9
13082258,https://www.airbnb.com/rooms/13082258,"47 Symphony Road, Apt 501",Fenway,2115,United States,42.343388540551736,-71.08832040505789,Private room,1,$52.00,80,10,8,10,10,10,10
13083058,https://www.airbnb.com/rooms/13083058,Sunny Studio at Fenway,Fenway,2215,United States,42.346456282737456,-71.10415928483286,Entire home/apt,2,$120.00,100,10,10,10,10,10,10
13091712,https://www.airbnb.com/rooms/13091712,Ideal for Families - Spacious Charlestown Townhome,Charlestown,2129,United States,42.38035518460096,-71.06756407673498,Entire home/apt,8,$350.00,100,10,10,10,10,10,10
13100828,https://www.airbnb.com/rooms/13100828,Spacious 1bdr on the water,East Boston,2128,United States,42.3691365107799,-71.04094378362562,Entire home/apt,2,$125.00,99,10,10,10,10,10,10
13107648,https://www.airbnb.com/rooms/13107648,"Lil’ Italy, Harbor Loft Efficiency Priv. Entrance",North End,2109,United States,42.366660144819434,-71.05209407170254,Private room,4,$64.00,97,10,10,10,10,10,10
13113748,https://www.airbnb.com/rooms/13113748,Private room and individual bathroom on 34th floor,Downtown,2114,United States,42.3648319713377,-71.0639087327483,Private room,1,$390.00,,,,,,,
13121821,https://www.airbnb.com/rooms/13121821,Charming Beacon Hill apartment with outdoor space,Beacon Hill,2114,United States,42.35997894671896,-71.06478599509708,Entire home/apt,4,$199.00,96,10,10,10,10,10,10
13126713,https://www.airbnb.com/rooms/13126713,62LUXURIOUS & PRIVATE room in the CENTER of Boston,Allston,2134,United States,42.35136743395033,-71.13299116108895,Private room,2,$250.00,95,10,9,10,10,10,9
13140867,https://www.airbnb.com/rooms/13140867,North End flat just off Hanover Street (23T#1),North End,2113,United States,42.36617915685983,-71.0543313618705,Entire home/apt,2,$250.00,97,10,10,10,9,10,9
13156872,https://www.airbnb.com/rooms/13156872,1 BR in Brighton,Brighton,2135,United States,42.33867207480593,-71.15702914937529,Entire home/apt,2,$100.00,97,10,10,10,10,10,9
13166405,https://www.airbnb.com/rooms/13166405,Spacious loft in the quiet suburbs #4,Brighton,2135,United States,42.34600528241735,-71.15513731915486,Private room,1,$36.00,93,10,9,10,10,9,10
13171246,https://www.airbnb.com/rooms/13171246,"Charming, Sunny, Convenient 2BR in the South End!",South End,2118,United States,42.339183216320194,-71.07818450213286,Entire home/apt,4,$200.00,98,10,9,10,10,10,10
13173203,https://www.airbnb.com/rooms/13173203,Quaint North End One Bedroom -Newly Renovated,North End,2113,United States,42.36486931405007,-71.05596869822347,Entire home/apt,4,$179.00,83,9,9,9,9,10,9
13173362,https://www.airbnb.com/rooms/13173362,Back Bay One Bedroom on Commonwealth Ave,Back Bay,2115,United States,42.34825550820319,-71.08540239226072,Entire home/apt,2,$133.00,,,,,,,
13188046,https://www.airbnb.com/rooms/13188046,"Top floor condo w/ parking, roof deck, near beach",South Boston,2127,United States,42.33224719358164,-71.03865606283041,Entire home/apt,3,$189.00,100,10,10,10,10,10,10
