id,listing_url,name,neighbourhood_cleansed,zipcode,country,latitude,longitude,room_type,accommodates,price,review_scores_rating
24770340,https://www.airbnb.com/rooms/24770340,M4A- Gorgeous Downtown Apartment!,Downtown,2109,United States,42.35884105,-71.05454393,Entire home/apt,6,$399.00,92
24796993,https://www.airbnb.com/rooms/24796993,"""Sleep Like a King""",Dorchester,2121,United States,42.29831313,-71.07760016,Private room,3,$47.00,92
24909410,https://www.airbnb.com/rooms/24909410,"Beautiful 2 Bed 2 Bath, River view near TD Garden",Downtown,2114,United States,42.36639131,-71.06235451,Entire home/apt,4,$250.00,92
24914518,https://www.airbnb.com/rooms/24914518,"Cozy Apt 2 near BC,BU w/parking and keyless entry",Brighton,2135,United States,42.34663954,-71.16649109,Entire home/apt,3,$100.00,92
24940510,https://www.airbnb.com/rooms/24940510,Boston Commons Condos Studio 1,Downtown,2116,United States,42.35190206,-71.06377933,Entire home/apt,3,$209.00,92
25748121,https://www.airbnb.com/rooms/25748121,"Bedroom-Queen bed, Walk to T, Free WiFi&Parking",Dorchester,2124,United States,42.28372946,-71.07154141,Private room,2,$49.00,92
25870859,https://www.airbnb.com/rooms/25870859,South End Condos 2BD1,South End,2118,United States,42.34445502,-71.06370355,Entire home/apt,5,$375.00,92
25947332,https://www.airbnb.com/rooms/25947332,Affluent 3 Bedroom 3 Bath Condo - Downtown Boston,South Boston,2127,United States,42.3434703,-71.05902179,Entire home/apt,10,$198.00,92
26329706,https://www.airbnb.com/rooms/26329706,Great Apartment in the Heart of Boston,West End,2114,United States,42.36353019,-71.06377795,Entire home/apt,7,$163.00,92
26997440,https://www.airbnb.com/rooms/26997440,4D - south end/BU Med/NEU/Haynes Convention,Roxbury,2118,United States,42.33694879,-71.07860218,Private room,2,$80.00,92
27134793,https://www.airbnb.com/rooms/27134793,"Single Room Near Airport, I-93, Silver Line T",Roxbury,2119,United States,42.33009058,-71.08189388,Private room,1,$64.00,92
27203329,https://www.airbnb.com/rooms/27203329,"Clean, comfy room with excellent location@3",East Boston,2128,United States,42.36848552,-71.04009771,Private room,2,$81.00,92
27571301,https://www.airbnb.com/rooms/27571301,Stunning 3BR in South End by Sonder,South End,2118,United States,42.34494313,-71.06608825,Entire home/apt,8,$304.00,92
27669626,https://www.airbnb.com/rooms/27669626,"Downtown Boston, Near South Station Bus Terminal",Chinatown,2111,United States,42.35094357,-71.06075302,Entire home/apt,6,$205.00,92
27906365,https://www.airbnb.com/rooms/27906365,Alaska Street R51,Roxbury,2119,United States,42.32051842,-71.07983411,Private room,1,$65.00,92
28027356,https://www.airbnb.com/rooms/28027356,CLOSE TO BOSTON UNIVERSITY 2Beds/1 Bath+1Parking,Allston,2134,United States,42.34669386,-71.13538052,Entire home/apt,6,$228.00,92
28126102,https://www.airbnb.com/rooms/28126102,★Hidden Gem 6BR w/3.5BA★ Close to Transportation,Jamaica Plain,2130,United States,42.32134857,-71.10373301,Entire home/apt,16,$400.00,92
28209269,https://www.airbnb.com/rooms/28209269,A Family Affair Hostel style sleeping space,Dorchester,2121,United States,42.29693571,-71.08463763,Private room,5,$105.00,92
28492687,https://www.airbnb.com/rooms/28492687,Open-Concept 3BR in South End by Sonder,South End,2118,United States,42.343617,-71.06460528,Entire home/apt,6,$283.00,92
28632149,https://www.airbnb.com/rooms/28632149,(384-52) Beautiful one bed on Comm Ave,Back Bay,2215,United States,42.34971931,-71.09026287,Entire home/apt,4,$135.00,92
28687266,https://www.airbnb.com/rooms/28687266,Spacious Room in Modern Unit by public transport!,Brighton,2135,United States,42.34727772,-71.16168996,Private room,1,$61.00,92
28863227,https://www.airbnb.com/rooms/28863227,"2 min to Airport,  2 train stops to Downtown",East Boston,2128,United States,42.37381199,-71.03252912,Entire home/apt,5,$175.00,92
29004550,https://www.airbnb.com/rooms/29004550,Single family house With free parking,Roslindale,2131,United States,42.27408494,-71.12106746,Entire home/apt,8,$195.00,92
29680644,https://www.airbnb.com/rooms/29680644,Seaport Luxe Condo Studio 3,South Boston Waterfront,2210,United States,42.35191034,-71.04261463,Entire home/apt,3,$289.00,92
30096820,https://www.airbnb.com/rooms/30096820,Large room in beautiful bed and breakfast,Jamaica Plain,2130,United States,42.32134292,-71.10683519,Private room,4,$99.00,92
30266656,https://www.airbnb.com/rooms/30266656,Modern Boston Theater District Apartment,Downtown,2116,United States,42.35025239,-71.06563859,Entire home/apt,4,$129.00,92
8792,https://www.airbnb.com/rooms/8792,Large 1 Bed facing State House,Downtown,2108,United States,42.35849698,-71.06201144,Entire home/apt,2,$154.00,93
50032,https://www.airbnb.com/rooms/50032,Amazing Design & Detail Throughout!,Jamaica Plain,2130,United States,42.31591116,-71.11275691,Entire home/apt,12,$700.00,93
160572,https://www.airbnb.com/rooms/160572,Single Family Home,South Boston,2127,United States,42.33324331,-71.04199974,Entire home/apt,9,$495.00,93
163941,https://www.airbnb.com/rooms/163941,$99* SPECIAL* 2 bed ApT! Location!,Roxbury,2119,United States,42.32964654,-71.09502742,Entire home/apt,6,$225.00,93
225224,https://www.airbnb.com/rooms/225224,4th floor office room,South End,2116,United States,42.34642847,-71.0750299,Private room,1,$105.00,93
311240,https://www.airbnb.com/rooms/311240,"Upscale Back Bay Studio, River Views",Back Bay,2116,United States,42.35262417,-71.08051384,Entire home/apt,2,$165.00,93
441014,https://www.airbnb.com/rooms/441014,Beacon Hill Marathon Finish Line walking distance!,Beacon Hill,2108,United States,42.36014655,-71.06858797,Entire home/apt,2,$195.00,93
815639,https://www.airbnb.com/rooms/815639,►Sophisticated Saucy Studio | Easy T Access!◄,North End,2113,United States,42.36758116,-71.05611278,Entire home/apt,2,$125.00,93
891661,https://www.airbnb.com/rooms/891661,GORGEOUS WATER FRT NORTH END STUDIO,North End,2109,United States,42.36853097,-71.05362605,Entire home/apt,4,$125.00,93
957224,https://www.airbnb.com/rooms/957224,Beautiful 3 BR with Great Location,Jamaica Plain,2130,United States,42.31885965,-71.11451513,Entire home/apt,8,$275.00,93
1090545,https://www.airbnb.com/rooms/1090545,BostonCtrBackBay-Pvt Bath&Rm-Comfy Bed,Back Bay,2115,United States,42.34373293,-71.0822372,Private room,1,$100.00,93
1092093,https://www.airbnb.com/rooms/1092093,Duplex Penthouse in Longwood Area,Mission Hill,2120,United States,42.33285413,-71.10115049,Entire home/apt,2,$95.00,93
1220971,https://www.airbnb.com/rooms/1220971,Boston Huge 1BR Best location (h2b),North End,2109,United States,42.36509661,-71.053646,Entire home/apt,5,$159.00,93
1275498,https://www.airbnb.com/rooms/1275498,"South End Parlor Studio, Sun & Stun",South End,2118,United States,42.34405443,-71.07351511,Entire home/apt,2,$160.00,93
1425973,https://www.airbnb.com/rooms/1425973,Historic brick Victorian row house ,South End,2118,United States,42.33937086,-71.08025759,Private room,4,$350.00,93
1867881,https://www.airbnb.com/rooms/1867881,"Lux 2 Bedroom near Charles St w/gym, & WiFi",West End,2114,United States,42.36511606,-71.06926305,Entire home/apt,5,$312.00,93
1960407,https://www.airbnb.com/rooms/1960407,Sunny Room in Quaker Community,Beacon Hill,2108,United States,42.35679703,-71.06749001,Private room,2,$125.00,93
1966195,https://www.airbnb.com/rooms/1966195,Lux Downtown Boston 2 Bedroom Apt w/pool,Downtown,2111,United States,42.35089832,-71.0632129,Entire home/apt,5,$312.00,93
2000797,https://www.airbnb.com/rooms/2000797,"Sea view,balcony,15min by metro to center,safe st",Dorchester,2125,United States,42.31502119,-71.06114771,Private room,2,$70.00,93
2186358,https://www.airbnb.com/rooms/2186358,Lux 1 BR w/den in the Heart of Fenway w/WiFi,Fenway,2215,United States,42.34431252,-71.09818506,Entire home/apt,3,$234.00,93
2187766,https://www.airbnb.com/rooms/2187766,Lux Downtown Boston 2 Bedroom Apt w/pool,Chinatown,2111,United States,42.35163838,-71.06214807,Entire home/apt,5,$312.00,93
2410846,https://www.airbnb.com/rooms/2410846,Sunny Beacon Hill private 1 bedroom,Downtown,2108,United States,42.35776706,-71.06218007,Entire home/apt,2,$125.00,93
2526773,https://www.airbnb.com/rooms/2526773,Charming comfort 1 BR / Studio,Brighton,2135,United States,42.34379756,-71.1563048,Entire home/apt,2,$52.00,93
2701124,https://www.airbnb.com/rooms/2701124,Charlesview Suites Back Bay ,Back Bay,2115,United States,42.34506857,-71.08600744,Entire home/apt,4,$280.00,93
2811937,https://www.airbnb.com/rooms/2811937,Green Home (Full size bed),Dorchester,2124,United States,42.28439248,-71.06911628,Private room,2,$65.00,93
2816133,https://www.airbnb.com/rooms/2816133,Lux Boston Theater Dist 1 Bedroom w/WiFi,Downtown,2111,United States,42.35257156,-71.06362172,Entire home/apt,3,$239.00,93
3294775,https://www.airbnb.com/rooms/3294775,"Sea view Alcove, safe, 15min metro ride to center!",Dorchester,2125,United States,42.31417775,-71.060367,Private room,2,$70.00,93
3344322,https://www.airbnb.com/rooms/3344322,"Eagle Sea view,15min metro ride to center,safe st!",Dorchester,2125,United States,42.31322326,-71.06170057,Private room,2,$70.00,93
3521944,https://www.airbnb.com/rooms/3521944,"Beautiful, Quiet, and Safe!",West Roxbury,2467,United States,42.2971352,-71.15828888,Entire home/apt,4,$119.00,93
3522237,https://www.airbnb.com/rooms/3522237,Harmonious and friendly place,Dorchester,2121,United States,42.30629023,-71.0827115,Private room,2,$37.00,93
3788075,https://www.airbnb.com/rooms/3788075,Warm and Cozy II ,Dorchester,2122,United States,42.30169262,-71.06263683,Private room,2,$47.00,93
4089940,https://www.airbnb.com/rooms/4089940,"North End, 1 Bed Apt w/ office, Boston",North End,2109,United States,42.36595644,-71.0526821,Entire home/apt,2,$229.00,93
4287989,https://www.airbnb.com/rooms/4287989,One bedroom Condo with two decks!,South Boston,2127,United States,42.3317907,-71.03818898,Entire home/apt,2,$175.00,93
4461846,https://www.airbnb.com/rooms/4461846,South End Studio Perfect for Work Travel #36,South End,2116,United States,42.34362446,-71.07729755,Entire home/apt,2,$150.00,93
4510513,https://www.airbnb.com/rooms/4510513,"Downtown Crossing ARTlab, Studio Apt, Boston",Downtown,2108,United States,42.35591667,-71.05977498,Entire home/apt,2,$259.00,93
4602191,https://www.airbnb.com/rooms/4602191,Stunning Apartment on Charles River,West End,2114,United States,42.36415711,-71.06811909,Entire home/apt,4,$310.00,93
4603588,https://www.airbnb.com/rooms/4603588,Ahh the Views! 1 Bed with Balcony,Back Bay,2116,United States,42.35361439,-71.07957868,Entire home/apt,2,$113.00,93
4687499,https://www.airbnb.com/rooms/4687499,"Charming 2-Story Flat, Great Value!",Mission Hill,2130,United States,42.33000599,-71.11276647,Private room,3,$103.00,93
4699828,https://www.airbnb.com/rooms/4699828,Charming Victorian Furnished Home,Hyde Park,2136,United States,42.25486441,-71.12736661,Entire home/apt,7,$135.00,93
4863108,https://www.airbnb.com/rooms/4863108,Private Ensuite Room in Boston,South Boston,2127,United States,42.33774837,-71.05145393,Private room,2,$122.00,93
